A,B,C,D
1,5,alpha,2021-01-01
2,6,beta,2021-01-02
,7,gamma,2021-01-03
4,8,delta,2021-01-04
5,,epsilon,2021-01-05
5,8,zeta,2021-01-06
7,9,eta,2021-01-07
8,10,theta,2021-01-08
9,11,iota,2021-01-09
10,,kappa,2021-01-10
11,13,lambda,2021-01-11
,14,mu,2021-01-12
13,15,nu,2021-01-13
14,16,xi,2021-01-14
15,,omicron,2021-01-15
16,18,pi,2021-01-16
17,19,rho,2021-01-17
18,20,sigma,2021-01-18
19,21,tau,2021-01-19
20,,upsilon,2021-01-20
21,23,phi,2021-01-21
22,24,chi,2021-01-22
23,25,psi,2021-01-23
24,26,omega,2021-01-24
25,,alpha,2021-01-25
26,28,beta,2021-01-26
27,29,gamma,2021-01-27
28,30,delta,2021-01-28
29,31,epsilon,2021-01-29
30,,zeta,2021-01-30
